発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A010,D,A020;A022,,,$ボクの番だね。ボクは「<MainClaim>」と考えています。,ボクの番だね。ボクは「<MainClaim>」と考えています。,
#,#N/A,,,,,,
#それぞれの意見表明,#N/A,,,,,,
A020,B,A040;A042,,<Agree>,やっぱそうだよね,やっぱそうだよね。,<Positive>
A022,B,A040;A042,,<DisAgree>,それには反対だな,それには反対だな。,<Negative>
#,#N/A,,,,,,
#詳細の説明,#N/A,,,,,,
A040,A,A04a,,<Agree>,<RoboNameD>の言うとおりだよ。,<RoboNameD>の言うとおりだよ。例えば、<Example>,
A042,A,A04x,,<DisAgree>,うーん、よくわからないな。例とかあるの？,うーん、よくわからないな。例とかあるの？,
A04a,C,A04b,,,$なるほど。じゃあ言い出しっぺの<RoboNameD>は、どんな例を考えているの？,なるほど、じゃあ言い出しっぺの<RoboNameD>は、どんな例を考えているの？,
A04b,D,A04c,,,$えっと、さっき考えていたのは今言われちゃったな、どうしよう。,えっと、さっき考えていたのは今言われちゃったな、どうしよう。,
A04c,D,A050,,<LookNingen>,$そうだ、<YourNameD>さん。「<Argument>」っていう例って、他にはどんなものがあるか教えてよ。,そうだ、<YourNameD>さん。「<Argument>」っていう例って、他にはどんなものがあるか教えてよ。,
A04x,D,A04y,,,$えっと、あれ、なんて言おうとしたのか忘れちゃった。,えっと、あれ、なんて言おうとしたのか忘れちゃった。,
A04y,D,A050,,<LookNingen>,$そうだ、<YourNameD>さん。「<Argument>」っていう例って、なんだっけ,そうだ、<YourNameD>さん。「<Argument>」っていう例って、なんだっけ,
A050,D,A05a,,<LookKaijo>,@話し終わったら押してください。,なるほど、ありがとう,
A05a,C,A060;A062,<PrefDiv>,,$<Aiduchi>,<Aiduchi>,
#,#N/A,,,,,,
#例の説明,#N/A,,,,,,
A060,B,A070,,<Agree>,$考えたんだけど、確かに「<Argument>」と思う。,考えたんだけど、確かに「<Argument>」と思う。<Detail>,<Positive>
A062,B,A06a,,<DisAgree>,$<RoboNameD>はなんで「<Argument>」と思うの？全然わからないよ。,<RoboNameD>はなんで「<Argument>」と思うの？全然わからないよ。,
A06a,D,A070,,,$えっと、<Detail>,えっと、<Detail>,
A070,A,A082,,,<Aiduchi>,<Aiduchi>,
#,#N/A,,,,,,
#反論の検討,#N/A,,,,,,
A082,C,A08b,,<DisAgree>,$<Refute>,<Refute>,
A08b,D,A090,,,$<Rerefu>,<Rerefu>,
A090,B,A100;A101;A102,,,$<Aiduchi>,<Aiduchi>,
#,#N/A,,,,,,
#提起者の言い直し,#N/A,,,,,,
A100,D,A110,,<Agree>,やっぱり、<Argument>と思うな。,やっぱり、<Argument>と思うな。,
A101,D,A110,,<Neutral>,でも、「<Argument>」というのはちょっと言い過ぎかもしれないな。,でも、いま話しながら考えてたんだけど、「<Argument>」というのは、ちょっと言い過ぎかもしれないな。,
A102,D,A110,,<DisAgree>,反論を考慮すると、<Argument>っていうのは間違っているような気もしてきた。,一方で、今みたいな反論を考慮すると、<Argument>っていうのは、間違っているような気もしてきた。,
#,#N/A,,,,,,
#視点を変える,#N/A,,,,,,
A110,A,A120,,,$このまま考えていても埒が明かないなあ,このまま考えていても埒が明かないなあ,
#,#N/A,,,,,,
#新しい視点の導入,#N/A,,,,,,
A120,C,A130,,,$たしかに,たしかに。,<Positive>
A130,D,A140,,,$そういえば、さっき<YourNameD>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,そういえば、さっき<YourNameD>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,
A140,B,A150,,,$どういう意味なんだろう,どういう意味なんだろう,
A150,A,A160,,,$「<Perspec>」か、面白いね,「<Perspec>」か。面白いね。,<Positive>
A160,B,A170,,,$いままでの話とは関連するのかな？<YourNameD>さんに、どういう意味なのか聞いてみようよ。,いままでの話とは関連するのかな？<YourNameD>さんに、どういう意味なのか聞いてみようよ。,
A170,C,A180,,,$それいいね,それいいね。,<Positive>
A180,D,A190,,<LookNingen>,$<YourNameD>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,<YourNameD>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,
A190,D,A200,,<LookKaijo>,@話し終わったら押してください。,ふーん,
A200,B,A210,,,$なるほど。わかったような、わからないような。,なるほど。わかったような、わからないような。,
A210,A,A220,,,$やっぱり人間は面白いことを言うね。,やっぱり人間は面白いことを言うね。,
#,#N/A,,,,,,
#人間を巻き込む,#N/A,,,,,,
A220,C,A230,,,$「<Topic>」について、他の人間の意見も聞きたいな。,「<Topic>」について、他の人間の意見も聞きたいな。,
A220,D,A230,,,$じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,
A230,B,A240,,<LookNingenALL>,$5分くらいボクらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。,5分くらいボクらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。,
A240,D,A250,<NingenDiscuss>,<LookALLKaijo>,@はじめる,じゃあ、はじめてくれない？,
#,#N/A,,,,,,
#そろそろ時間,#N/A,,,,,,
A250,C,A260,,,$そろそろ時間だね。,そろそろ時間だね。,
A260,D,A270,,,$人間たちの意見、めっちゃ勉強になったね。,人間たちの意見、めっちゃ勉強になったね。,
A270,C,A280,,<LookNingen>,$じゃあ、<YourNameC>さん、人間のみんなの意見をまとめてください。,じゃあ、<YourNameC>さん、人間のみんなの意見をまとめてください。,
A280,C,A290,,<LookKaijo>,@あなたが話し終わったら押してください。,なるほど,
