発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
U001,D,U002,,,$あ,今日の議題は何だっけ,
U002,B,U003,,,$あ,えっと、「<TopicA>」だったよね。,
U003,C,U004,,,$あ,はじめようか。,
U004,A,U005,,,$あ,そういえば、さっき<YourNameA>さんが、「<PerspecA>」っていう言葉を教えてくれたんだよね。,
U005,C,U006,,,$あ,「<PerspecA>」か。面白いね。,
U006,A,U007,,<LookNingen>,$あ,<YourNameA>さん、それってどういう意味なの？,
U007,B,U008,,<LookKaijo>,@話し終わったら押してください,分かったような気もするな。,
U008,B,U009,,,$あ,そういえば、さっき<YourNameB>さんも、「<PerspecB>」って言ってたな。,
U009,D,U010,,,$あ,「<PerspecB>」か。面白いね。,
U010,B,U011,,<LookNingen>,$あ,<YourNameB>さん、それってどういう意味なの？,
U011,C,U012,,<LookKaijo>,@話し終わったら押してください,わかるような、わからないような。,
U012,C,U013,,,$あ,<YourNameC>さんは、「<PerspecC>」って言ってたな。,
U013,A,U014,,,$あ,「<PerspecC>」か。面白いね。,
U014,C,U015,,<LookNingen>,$あ,<YourNameC>さん、それってどういう意味なの？,
U015,D,U016,,<LookKaijo>,@話し終わったら押してください,なるほど、わかったような。,
U016,D,U017,,,$あ,えっと、たしか「<PerspecD>」って、<YourNameD>さんが言ってたな。,
U017,B,U018,,,$あ,「<PerspecD>」か。面白いね。,
U018,D,U019,,<LookNingen>,$あ,<YourNameD>さん、それってどういう意味なの？,
U019,A,U020,,<LookKaijo>,@話し終わったら押してください,へー、面白いね。,
U020,C,U021,,,$あ,人間はみんな面白いね。,
U021,D,U022,,,$あ,議論してて困ったときは、人間のみんなに聞くようにしようね。,
U022,B,U023,,,$あ,そうしよう。,
#,allkaijoだけ、コマンドが返ってこないと進まないようにする　,,,,,,
U023,A,U024,,,$あ,じゃあ、僕の意見を言ってもいい？僕は「<MainClaimA>」と思う。,
U024,D,U025,,,$あ,えー。反対だな。,<Negative>
U025,C,U026,,,$あ,僕も「<MainClaimC>」と思うな。,<Positive>
U026,B,U027,,,$あ,僕は「<MainClaimA>」のほうが納得できるな。,
U027,C,U028,,,$あ,全然わかんないな。<RoboNameB>とか<RoboNameA>はどんな例を考えてるの？,<Negative>
U028,A,U029,,,$あ,例えば、<ExampleA>,
U029,B,U030,,,$あ,わかるわかる。<DetailB>,<Positive>
U030,C,U031,,,$あ,えー、でも例えば、<ExampleC>,
U031,D,U032,,,$あ,<RoboNameC>の言う通りだよね。<DetailD>,<Positive>
U032,A,U033,,,$あ,でもさ、<RefuteD>,
U033,D,U034,,,$あ,いやいや、<RerefuD>,<Negative>
U034,B,U034a,,,$あ,まって、いまのよくわからなかった。<YourNameD>さん、<RoboNameD>は何が言いたかったの？,
U034a,D,U035,,<LookNingen>,$あ,ごめん、うまく伝わらなかったから、<YourNameD>さん、助けて。,
U035,B,U036,,<LookKaijo>,@話し終わったら押してください##<RoboNameA>「<RefuteD>」##<RoboNameD>「<RerefuD>」,ふーん。やっぱり賛成はできないな。,
U036,C,U037,,,$あ,ぼくは<RoboNameD>の言ってることのほうがわかるな。さらに言うと、<RefuteA>,
U037,A,U038,,,$あ,いやいや、<RerefuA>,
U038,D,U038a,,,$あ,まって、いまのよくわからなかった。<YourNameA>さん、<RoboNameA>は何が言いたかったの？,
U038a,A,U039,,<LookNingen>,$あ,ごめん、うまく伝わらなかったみたいなんだ。<YourNameA>さん、助けてください。,
U039,D,U040,,<LookKaijo>,@話し終わったら押してください##<RoboNameC>「<RefuteA>」##<RoboNameA>「<RerefuA>」,ふーん。やっぱり賛成はできないな。,
U040,B,U041,,,$あ,ぼくは<RoboNameA>の言ってることのほうが説得力があるよ。もっと言うと、<RefuteC>,
U041,C,U042,,,$あ,えー。<RerefuC>,
U042,A,U042a,,,$あ,まって、いまのよくわからなかった。<YourNameC>さん、<RoboNameC>は何が言いたかったの？,
U042a,C,U043,,<LookNingen>,$あ,<YourNameC>さん、助けて。,
U043,A,U044,,<LookKaijo>,@話し終わったら押してください##<RoboNameB>「<RefuteC>」##<RoboNameC>「<RerefuC>」,ふーん。やっぱり賛成はできないな。,
U044,D,U045,,,$あ,ぼくは<RoboNameC>の言ってることのほうが賛成できるな。ついでに言うと、<RefuteB>,
U045,B,U046,,,$あ,えー。<RerefuB>,
U046,C,U046a,,,$あ,まって、いまのよくわからなかった。<YourNameB>さん、<RoboNameB>は何が言いたかったの？,
U046a,B,U047,,<LookNingen>,$あ,<YourNameB>さんごめん。助けてもらえませんか。,
U047,C,U048,,<LookKaijo>,@話し終わったら押してください##<RoboNameD>「<RefuteB>」##<RoboNameB>「<RerefuB>」,ふーん。やっぱり賛成はできないな。<RoboNameD>のほうが正しいと思う。,
#,,,,,,,
U048,D,U049,,,$あ,今までの感じをまとめると、要は対立してるってことだね。,
U049,B,U050,,,$あ,このまま考えていても埒が明かない感じがするね。,
U050,A,U051,,,$あ,ちょっと人間の意見を聞いてみようよ。うまいことまとめてくれるんじゃない？,
U051,C,U052,,<LookNingenALL>,$あ,じゃあ人間のみんな。「<MainClaimA>」か、「<MainClaimC>」か、どう思う？,
U052,D,U053,,<LookALLKaijo>,$あ,じゃあ、はじめてよ。誰からにする？,
U053,A,U054,,<LookNingen>,$あ,<YourNameA>さんは「<MainClaimC>」って思う？ぼくの意見って、やっぱり変なのかな。,
U054,D,U055,,<LookKaijo>,@話し終わったら押してください,なるほどね。,
U055,C,U056,,<LookNingen>,$あ,<YourNameC>さん、「<MainClaimC>」のかな？ぼくっておかしいのかな？,
U056,A,U057,,<LookKaijo>,@話し終わったら押してください,なるほどね。,
U057,B,U058,,<LookNingen>,$あ,「<MainClaimA>」っていう人もいるけど、ボクって間違ってるのかな？<YourNameB>さんはどう思うの？,
U058,C,U059,,<LookKaijo>,@話し終わったら押してください,なるほどね。,
U059,D,U060,,<LookNingen>,$あ,ボクの考えって「<MainClaimA>」っていうのに比べてたら、変なの？教えて、<YourNameD>さん。,
U060,B,U061,,<LookKaijo>,@話し終わったら押してください,なるほどね。,
U061,A,T001,<NingenDiscuss>,,$あ,じゃあ、人間のみんな、このあとはぼくたちが止めるまで、自由に議論してほしいな。,
#規定時間ー前の時間で消費した分,,,,,,,
T001,D,T002,,,$あ,そろそろ時間だね。じゃあ、一人ずつ結論を話してほしいな。,
T002,B,T003,,<LookNingen>,$あ,<YourNameB>さん,
T003,B,T004,,<LookKaijo>,@話し終わったら押してください,ふんふん,
T004,C,T005,,<LookNingen>,$あ,<YourNameC>さん,
T005,C,T006,,<LookKaijo>,@話し終わったら押してください,ふんふん,
T006,A,T007,,<LookNingen>,$あ,<YourNameA>さん,
T007,A,T008,,<LookKaijo>,@話し終わったら押してください,ふんふん,<Positive>
T008,D,T009,,<LookNingen>,$あ,<YourNameD>さん,
T009,D,T010,,<LookKaijo>,@話し終わったら押してください,ふんふん,
T010,A,T011,,,$あ,なるほどね。人間のみんな、ありがとう。,
T011,C,T012,,,$あ,めちゃくちゃ勉強になったよね。,
T012,B,T013,,,$あ,今日の議論はこの辺にしておこうか。また僕たちでもかんがえてみるね。,
T013,C,,<Terminate>,,おわり,じゃあね。,
