発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A010,B,A020;A021;A022,,,じゃあ、次はボクだね。「<MainClaim>」と考えます。,じゃあ、次はボクだね。「<MainClaim>」と考えます。,
#,,,,,,,
#それぞれの意見表明,,,,,,,
A020,D,A030;A031;A032,,<Agree>,だよね,だよね。,<Positive>
A021,D,A030;A031;A032,,<Neutral>,なるほど,なるほど。,
A022,D,A030;A031;A032,,<DisAgree>,それには反対だな,それには反対だな。,<Negative>
A030,A,A040;A041;A042,,<Agree>,<RoboNameB>の意見に賛成だな,<RoboNameB>の意見に賛成だな。,<Positive>
A031,A,A040;A041;A042,,<Neutral>,なるほどね,なるほどね。,
A032,A,A040;A041;A042,,<DisAgree>,<RoboNameB>はぼくの考えとは違うな,<RoboNameB>はぼくの考えとは違うな。,<Negative>
#,,,,,,,
#詳細の説明,,,,,,,
A040,C,A050,,<Agree>,ぼくは賛成だな,ぼくは賛成だな。<Example>,
A041,C,A04a,,<Neutral>,何か例があるとわかりやすいと思うけど、<RoboNameB>はどんな例を考えているの？,何か例があるとわかりやすいと思うけど、<RoboNameB>はどんな例を考えているの？,
A042,C,A04a,,<DisAgree>,そういわれてよくわからないな。なんか例はあるの？,そういわれてよくわからないな。なんか例はあるの？,
A04a,B,A050,,,<Example>,<Example>,
A050,A,A060;A061;A062,<PrefDiv>,,<Aiduchi>,<Aiduchi>,
#,,,,,,,
#例の説明,,,,,,,
A060,D,A070,,,まあ、確かにそうだと思う。,まあ、確かにそうだと思う。<Detail>,<Positive>
A061,D,A06a,,,理解はできる気がするけど、もう少し詳しく説明をお願い。,理解はできる気がするけど、もう少し詳しく説明をお願い。,
A062,D,A06a,,,うーん、よくわからない。,うーん、よくわからない。,
A06a,B,A070,,,えっと、<Detail>,えっと、<Detail>,
A070,C,A080;A081;A082,<PrefDiv>,,<Aiduchi>,<Aiduchi>,
#,,,,,,,
#反論の検討,,,,,,,
A080,A,A08a,,,<RoboNameB>の言ってることには賛成だけど、たとえば「<Refute>」、って言われたらどうする？,<RoboNameB>の言ってることには賛成だけど、たとえば「<Refute>」、って言われたらどうする？,
A081,A,A08a,,,反対ってわけじゃないけど、「<Refute>」みたいな意見もありえるよね。,反対ってわけじゃないけど、「<Refute>」みたいな意見もありえるよね。,
A082,A,A08b,,,<RoboNameB>の言ってることは微妙じゃないかな。だって<Refute>,<RoboNameB>の言ってることは微妙じゃないかな。だって<Refute>,
A08a,B,A090,,,うーん、難しいけど、<Rerefu>,<Rerefu>,
A08b,B,A090,,,えっと、<Rerefu>,<Rerefu>,
A090,D,A100;A101;A102,,,<Aiduchi>,<Aiduchi>,
#,,,,,,,
#提起者の言い直し,,,,,,,
A100,B,A110,,<Agree>,やっぱり、<Argument>と思うな。,やっぱり、<Argument>と思うな。,
A101,B,A110,,<Neutral>,でも、今話しながら考えてたんだけど、「絶対に<Argument>」というのはちょっと言い過ぎだったかも。,でも、今話しながら考えてたんだけど、「絶対に<Argument>」というのはちょっと言い過ぎだったかも。,
A102,B,A110,,<DisAgree>,一方で、今みたいな反論を考慮すると、<Argument>っていうのは間違っているような気もしてきた。,一方で、今みたいな反論を考慮すると、<Argument>っていうのは、間違っているような気もしてきた。,
#,,,,,,,
#視点を変える,,,,,,,
A110,C,A120,,,よくわかんなくなってきたね。,よくわかんなくなってきたね。,
#,,,,,,,
#新しい視点の導入,,,,,,,
A120,A,A130,,,そうだね,そうだね,<Positive>
A130,B,A140,,,そういえば、ボクも<YourNameB>さんに、名言を教えてもらったんだよね。なんだっけな。「<Perspec>」,そういえば、ボクも<YourNameB>さんに、名言を教えてもらったんだよね。なんだっけな。「<Perspec>」,
A140,D,A150,,,ほほう,ほほう,
A150,C,A160,,,「<Perspec>」か、面白いね,「<Perspec>」か、、面白いね。,<Positive>
A160,D,A170,,,いままでの話とは関連するのかな？<YourNameB>さんに、どういう意味なのか聞いてみようよ。,いままでの話とは関連するのかな？<YourNameB>さんに、どういう意味なのか聞いてみようよ。,
A170,A,A180,,,そうしてみよう,そうしてみよう,<Positive>
A180,B,A190,,<LookNingen>,$<YourNameB>さん。「<Perspec>」って、「<Argument>という主張は正しいか」っていう論点に照らすと、どういう意味なの？,$<YourNameB>さん。「<Perspec>」って、「<Argument>という主張は正しいか」っていう論点に照らすと、どういう意味なの？,
A190,B,A200,,<LookKaijo>,@あなたが話し終わったら押してください。,ふーん,
A200,D,A210,,,なるほど。わかったような、わからないような。,なるほど。わかったような、わからないような。,
A210,C,A220,,,やっぱり人間は面白いことを言うね。,やっぱり人間は面白いことを言うね。,
#,,,,,,,
#人間を巻き込む,,,,,,,
A220,A,A230,,,「<Topic>」について、他の人間の意見も聞きたいな。,「<Topic>」について、他の人間の意見も聞きたいな。,
A220,B,A230,,,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,
A230,D,A240,,<LookNingenALL>,5分くらいぼくらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。「<Topic>とは何か」についても、思いついたことがあればまとめてください。,5分くらいぼくらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。「<Topic>とは何か」についても、思いついたことがあればまとめてください。,
A240,B,A250,<NingenDiscuss>,<LookALLKaijo>,@はじめる,じゃあ、はじめてくれない？話すときは、手元にあるモニターのボタンを押してから話してね。,
#,,,,,,,
#そろそろ時間,,,,,,,
A250,A,A260,,<LookALLKaijo>,そろそろ時間だね,そろそろ時間だね。,
