発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A001,C,A002,,,$最初に自己紹介をしようよ。ぼくは、<RoboNameC>っていいます。そしてぼくの後ろにいるのが<YourNameC>さんです。,最初に自己紹介をしようよ。ぼくは、<RoboNameC>っていいます。そしてぼくの後ろにいるのが<YourNameC>さんです。,
A002,C,A003,,<LookNingen>,$じゃあ<YourNameC>さん、自己紹介してください。,じゃあ<YourNameC>さん、自己紹介してください。,
A003,C,A004,,<LookKaijo>,@話し終わったら押してください。,<YourNameC>さん、ありがとう,
A004,A,A005,,,$ぼくは、<RoboNameA>です。ぼくの後ろにいるのが<YourNameA>さんです。,ぼくは、<RoboNameA>です。ぼくの後ろにいるのが<YourNameA>さんです。,
A005,A,A006,,<LookNingen>,$<YourNameA>さん、自己紹介してください。,<YourNameA>さん、自己紹介してください。,
A006,A,A007,,<LookKaijo>,@話し終わったら押してください。,<YourNameA>さん、よろしく,
A007,D,A008,,,$ボクの名前は<RoboNameD>です。後ろにいるのが<YourNameD>さんだよ。,ボクの名前は<RoboNameD>です。後ろにいるのが<YourNameD>さんだよ。,
A008,D,A009,,<LookNingen>,$<YourNameD>さん、自己紹介してください。,<YourNameD>さん、自己紹介してください。,
A009,D,A00A,,<LookKaijo>,@話し終わったら押してください。,<YourNameD>さん、よろしく,
A00A,B,A00B,,,$ボクの名前は<RoboNameB>です。後ろにいるのが<YourNameB>さんだよ。,ボクの名前は<RoboNameB>です。後ろにいるのが<YourNameB>さんだよ。,
A00B,B,A00C,,<LookNingen>,$<YourNameB>さん、自己紹介してください。,<YourNameB>さん、自己紹介してください。,
A00C,B,A010,,<LookKaijo>,@話し終わったら押してください。,<YourNameB>さん、よろしく,
#紹介
#紹介
#紹介
A010,A,A020;A022,,,$じゃあ、ぼくからいいかな。ぼくは「<MainClaim>」と思います。,じゃあ、ぼくからいいかな。ぼくは「<MainClaim>」と思います。,
#,#,,,,,,
#それぞれの意見表明,#,,,,,,
A020,C,A040;A042,,<Agree>,やっぱそうだよね,やっぱそうだよね。,<Positive>
A022,C,A040;A042,,<DisAgree>,それには反対だな,それには反対だな。,<Negative>
#,#,,,,,,
#詳細の説明,#,,,,,,
A040,B,A04a,,<Agree>,<RoboNameA>の言うとおりだよ。,<RoboNameA>の言うとおりだよ。例えば、<Example>,
A042,B,A04x,,<DisAgree>,うーん、よくわからないな。例とかあるの？,うーん、よくわからないな。例とかあるの？,
A04a,D,A04b,,,$なるほど。じゃあ言い出しっぺの<RoboNameA>は、どんな例を考えているの？,なるほど、じゃあ言い出しっぺの<RoboNameA>は、どんな例を考えているの？,
A04b,A,A04c,,,$えっと、さっき考えていたのは今言われちゃったな、どうしよう。,えっと、さっき考えていたのは今言われちゃったな、どうしよう。,
A04c,A,A050,,<LookNingen>,$そうだ、<YourNameA>さん。「<Argument>」っていう例って、他にはどんなものがあるか教えてよ。,そうだ、<YourNameA>さん。「<Argument>」っていう例って、他にはどんなものがあるか教えてよ。,
A04x,A,A04y,,,$えっと、あれ、なんて言おうとしたのか忘れちゃった。,えっと、あれ、なんて言おうとしたのか忘れちゃった。,
A04y,A,A050,,<LookNingen>,$そうだ、<YourNameA>さん。「<Argument>」っていう例って、なんだっけ,そうだ、<YourNameA>さん。「<Argument>」っていう例って、なんだっけ,
A050,A,A05a,,<LookKaijo>,@話し終わったら押してください。,なるほど、ありがとう,
A05a,D,A060;A062,<PrefDiv>,,$<Aiduchi>,<Aiduchi>,
#,#,,,,,,
#例の説明,#,,,,,,
A060,C,A070,,,$考えたんだけど、確かに「<Argument>」と思う。,考えたんだけど、確かに「<Argument>」と思う。<Detail>,<Positive>
A062,C,A06a,,,$<RoboNameA>はなんで「<Argument>」と思うの？全然わからないよ。,<RoboNameA>はなんで「<Argument>」と思うの？全然わからないよ。,
A06a,A,A070,,,$えっと、<Detail>,えっと、<Detail>,
A070,B,A082,,,<Aiduchi>,<Aiduchi>,
#,#,,,,,,
#反論の検討,#,,,,,,
A082,D,A08b,,<DisAgree>,$<Refute>,<Refute>,
A08b,A,A090,,,$<Rerefu>,<Rerefu>,
A090,C,A100;A101;A102,,,$<Aiduchi>,<Aiduchi>,
#,#,,,,,,
#提起者の言い直し,#,,,,,,
A100,A,A110,,<Agree>,やっぱり、<Argument>と思うな。,やっぱり、<Argument>と思うな。,
A101,A,A110,,<Neutral>,でも、「<Argument>」というのはちょっと言い過ぎかも。,でも、いま話しながら考えてたんだけど、「<Argument>」というのは、ちょっと言い過ぎかもしれないな。,
A102,A,A110,,<DisAgree>,反論を考慮すると、<Argument>っていうのは間違っているような気もしてきた。,一方で、今みたいな反論を考慮すると、<Argument>っていうのは、間違っているような気もしてきた。,
#,#,,,,,,
#視点を変える,#,,,,,,
A110,B,A120,,,$このまま考えていても埒が明かないなあ,このまま考えていても埒が明かないなあ,
#,#,,,,,,
#新しい視点の導入,#,,,,,,
A120,D,A130,,,$たしかに,たしかに。,<Positive>
A130,A,A140,,,$そういえば、さっき<YourNameA>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,そういえば、さっき<YourNameA>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,
A140,C,A150,,,$どういう意味なんだろう,どういう意味なんだろう,
A150,B,A160,,,$「<Perspec>」か、面白いね,「<Perspec>」か。面白いね。,<Positive>
