発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A010,B,A020;A022,,,$じゃあ、ぼくからいいかな。ぼくは「<MainClaim>」と思います。,じゃあ、ぼくからいいかな。ぼくは「<MainClaim>」と思います。,
#,#,,,,,,
#それぞれの意見表明,#,,,,,,
A020,D,A040;A042,,<Agree>,やっぱそうだよね,やっぱそうだよね。,<Positive>
A022,D,A040;A042,,<DisAgree>,それには反対だな,それには反対だな。,<Negative>
#,#,,,,,,
#詳細の説明,#,,,,,,
A040,C,A04a,,<Agree>,<RoboNameB>の言うとおりだよ。,<RoboNameB>の言うとおりだよ。例えば、<Example>,
A042,C,A04x,,<DisAgree>,うーん、よくわからないな。例とかあるの？,うーん、よくわからないな。例とかあるの？,
A04a,A,A04b,,,$なるほど。じゃあ言い出しっぺの<RoboNameB>は、どんな例を考えているの？,なるほど、じゃあ言い出しっぺの<RoboNameB>は、どんな例を考えているの？,
A04b,B,A04c,,,$えっと、さっき考えていたのは今言われちゃったな、どうしよう。,えっと、さっき考えていたのは今言われちゃったな、どうしよう。,
A04c,B,A050,,<LookNingen>,$そうだ、<YourNameB>さん。「<Argument>」っていう例って、他にはどんなものがあるか教えてよ。,そうだ、<YourNameB>さん。「<Argument>」っていう例って、他にはどんなものがあるか教えてよ。,
A04x,B,A04y,,,$えっと、あれ、なんて言おうとしたのか忘れちゃった。,えっと、あれ、なんて言おうとしたのか忘れちゃった。,
A04y,B,A050,,<LookNingen>,$そうだ、<YourNameB>さん。「<Argument>」っていう例って、なんだっけ,そうだ、<YourNameB>さん。「<Argument>」っていう例って、なんだっけ,
A050,B,A05a,,<LookKaijo>,@話し終わったら押してください。,なるほど、ありがとう,
A05a,A,A060;A062,<PrefDiv>,,$<Aiduchi>,<Aiduchi>,
#,#,,,,,,
#例の説明,#,,,,,,
A060,D,A070,,,$確かに、ぼくも「<Argument>」と思う。,確かに、ぼくも「<Argument>」と思う。<Detail>,<Positive>
A062,D,A06a,,,$<RoboNameB>はなんで「<Argument>」と思うの？全然わからないよ。,<RoboNameB>はなんで「<Argument>」と思うの？全然わからないよ。,
A06a,B,A070,,,$えっと、<Detail>,えっと、<Detail>,
A070,C,A082,,,<Aiduchi>,<Aiduchi>,
#,#,,,,,,
#反論の検討,#,,,,,,
A082,A,A08b,,<DisAgree>,$でも、<Refute>,でも、<Refute>,
A08b,B,A08c,,,$いやいや、<Rerefu>,いやいや、<Rerefu>,
A08c,C,A08d,,,$ちょっとまって、今の<RoboNameA>と<RoboNameB>のやりとり、よくわからなかった。,ちょっとまって、今の<RoboNameA>と<RoboNameB>のやりとり、よくわからなかった。,
A08d,D,A08e,,<LookNingen>,$えっと、<YourNameD>さん。いまの<RoboNameA>と<RoboNameB>のやり取り、まとめなおしてくれない？,えっと、<YourNameD>さん。いまの<RoboNameA>と<RoboNameB>のやり取り、まとめなおしてくれない？,
A08e,D,A090,,<LookKaijo>,@話し終わったら押してください。#下のやりとりをまとめてください。##<RoboNameA>「<Refute>」#<RoboNameB>「<Rerefu>」,なるほど、ありがとう、<YourNameD>さん。,
A090,C,A100;A101,,,$めっちゃ対立してるね。,めっちゃ対立してるね。,
#,#,,,,,,
#提起者の言い直し,#,,,,,,
A100,B,A110,,<Agree>,やっぱり、<Argument>と思うな。,やっぱり、<Argument>と思うな。,
