発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A010,C,A020;A021;A022,,,じゃあ、次行きます。ぼくの意見は、「<MainClaim>」です。,じゃあ、次行きます。ぼくの意見は、「<MainClaim>」です。,
#,,,,,,,
#それぞれの意見表明,,,,,,,
A020,A,A030;A031;A032,,<Agree>,だよね,だよね,<Positive>
A021,A,A030;A031;A032,,<Neutral>,なるほど。,なるほど。,
A022,A,A030;A031;A032,,<DisAgree>,それには反対だな。,それには反対だな。,<Negative>
A030,B,A040;A041;A042,,<Agree>,<RoboNameC>の意見に賛成だな。,<RoboNameC>の意見に賛成だな。,<Positive>
A031,B,A040;A041;A042,,<Neutral>,なるほどね。,なるほどね。,
A032,B,A040;A041;A042,,<DisAgree>,<RoboNameC>はボクの考えとは違うな。,<RoboNameC>はボクの考えとは違うな。,<Negative>
#,,,,,,,
#詳細の説明,,,,,,,
A040,D,A050,,<Agree>,うーんと、賛成だな。<Example>,うーんと、賛成だな。<Example>,
A041,D,A04a,,<Neutral>,何か例があるとわかりやすいと思うけど、<RoboNameC>はどんな例をイメージしてる？,何か例があるとわかりやすいと思うけど、<RoboNameC>はどんな例をイメージしてる？,
A042,D,A04a,,<DisAgree>,いまいちわからないよ。なんか例はあるの？,いまいちわからないよ。なんか例はあるの？,
A04a,C,A050,,,<Example>,<Example>,
A050,B,A060;A061;A062,<PrefDiv>,,<Aiduchi>,<Aiduchi>,
#,,,,,,,
#例の説明,,,,,,,
A060,A,A070,,<Agree>,言われてみると、確かにそうだと思う。<Detail>,言われてみると、確かにそうだと思う。<Detail>,<Positive>
A061,A,A06a,,<Neutral>,なんとなくわかったけど、もう少し詳しく説明してほしいな。,なんとなくわかったけど、もう少し詳しく説明してほしいな。,
A062,A,A06a,,<DisAgree>,うーん、正直違うと思う。なんで？,うーん、正直違うと思う。なんで？,
A06a,C,A070,,,えっと、<Detail>,えっと、<Detail>,
A070,D,A080;A081;A082,<PrefDiv>,,<Aiduchi>,<Aiduchi>,
#,,,,,,,
#反論の検討,,,,,,,
A080,B,A08a,,<Agree>,<RoboNameC>には賛成したいけど、もし「<Refute>」みたいな反論があったらどうする？,<RoboNameC>には賛成したいけど、もし「<Refute>」みたいな反論があったらどうする？,
A081,B,A08a,,<Neutral>,反対ってわけじゃないが、「<Refute>」みたいな反論もあると思う。,反対ってわけじゃないが、「<Refute>」みたいな反論もあると思う。,
A082,B,A08b,,<DisAgree>,<RoboNameC>の主張はいまいちじゃないかな。だって<Refute>,<RoboNameC>の主張はいまいちじゃないかな。だって<Refute>,
A08a,C,A090,,,うーん、<Rerefu>,うーん、<Rerefu>,
A08b,C,A090,,,<Rerefu>,<Rerefu>,
A090,A,A100;A101;A102,,,<Aiduchi>,<Aiduchi>,
#,,,,,,,
#提起者の言い直し,,,,,,,
A100,C,A110,,<Agree>,やっぱり、<Argument>だと思うな。,やっぱり、<Argument>だと思うな。,
A101,C,A110,,<Neutral>,でも、今話しながら考えてたんだけど、「絶対に<Argument>」だというのはちょっと言い過ぎだったかも。,でも、今話しながら考えてたんだけど、「絶対に<Argument>」だというのはちょっと言い過ぎだったかも。,
A102,C,A110,,<DisAgree>,一方で、今みたいな反論を考慮すると、<Argument>っていうのは間違っているような気もしてきた。,一方で、今みたいな反論を考慮すると、<Argument>っていうのは、間違っているような気もしてきた。,
#,,,,,,,
#視点を変える,,,,,,,
A110,D,A120,,,難しくなってきたなあ。このまま議論しても仕方なさそう。,難しくなってきたなあ。このまま議論しても仕方なさそう。,
#,,,,,,,
#新しい視点の導入,,,,,,,
A120,B,A130,,,そうだね,そうだね,<Positive>
A130,C,A140,,,そういえば、ぼくも<YourNameC>さんに、こういう言葉を教えてもらったんだよね。なんだっけな。「<Perspec>」,そういえば、ぼくも<YourNameC>さんに、こういう言葉を教えてもらったんだよね。なんだっけな。「<Perspec>」,
A140,A,A150,,,なるほど。,なるほど。,
A150,D,A160,,,「<Perspec>」か、どういうことかな。,「<Perspec>」か、どういうことかな。,<Positive>
A160,A,A170,,,いままでの話とは関連するのかな？<YourNameC>さんに、どういう意味なのか聞いてみようよ。,いままでの話とは関連するのかな？<YourNameC>さんに、どういう意味なのか聞いてみようよ。,
A170,B,A180,,,それいいね。,それいいね。,<Positive>
A180,C,A190,,<LookNingen>,$<YourNameC>さん。「<Perspec>」って、「<Argument>という主張は正しいか」っていう論点に照らすと、どういう意味なの？,$<YourNameC>さん。「<Perspec>」って、「<Argument>という主張は正しいか」っていう論点に照らすと、どういう意味なの？,
A190,C,A200,,<LookKaijo>,@あなたが話し終わったら押してください。,ふーん,
A200,A,A210,,,なるほど。わかったような、わからないような。,なるほど。わかったような、わからないような。,
A210,D,A220,,,やっぱり人間は面白いことを言うね。,やっぱり人間は面白いことを言うね。,
#,,,,,,,
#人間を巻き込む,,,,,,,
A220,B,A230,,,「<Topic>」について、他の人間の意見も聞きたいな。,「<Topic>」について、他の人間の意見も聞きたいな。,
A220,C,A230,,,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,
A230,A,A240,,<LookNingenALL>,5分くらいぼくらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。,5分くらいぼくらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。,
A240,C,A250,<NingenDiscuss>,<LookALLKaijo>,@はじめる,じゃあ、はじめてくれない？話すときは、手元にあるモニターのボタンを押してから話してね。,
#,,,,,,,
#そろそろ時間,,,,,,,
A250,B,A260,,<LookALLKaijo>,そろそろ時間だね。,そろそろ時間だね。,
A260,C,,<Transition>,,人間たちの意見、めっちゃ勉強になったね。,人間たちの意見、めっちゃ勉強になったね。,
