発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A010,A,A020;A022,,,$じゃあ、ぼくからいいかな。ぼくは「<MainClaim>」と思います。,じゃあ、ぼくからいいかな。ぼくは「<MainClaim>」と思います。,
#,#,,,,,,
#それぞれの意見表明,#,,,,,,
A020,C,A040;A042,,<Agree>,やっぱそうだよね,やっぱそうだよね。,<Positive>
A022,C,A040;A042,,<DisAgree>,それには反対だな,それには反対だな。,<Negative>
#,#,,,,,,
#詳細の説明,#,,,,,,
A040,B,A04a,,<Agree>,<RoboNameA>の言うとおりだよ。,<RoboNameA>の言うとおりだよ。例えば、<Example>,
A042,B,A04x,,<DisAgree>,うーん、よくわからないな。例とかあるの？,うーん、よくわからないな。例とかあるの？,
A04a,D,A04b,,,$なるほど。じゃあ言い出しっぺの<RoboNameA>は、どんな例を考えているの？,なるほど、じゃあ言い出しっぺの<RoboNameA>は、どんな例を考えているの？,
A04b,A,A04c,,,$えっと、さっき考えていたのは今言われちゃったな、どうしよう。,えっと、さっき考えていたのは今言われちゃったな、どうしよう。,
A04c,A,A050,,<LookNingen>,$そうだ、<YourNameA>さん。「<Argument>」っていう例って、他にはどんなものがあるか教えてよ。,そうだ、<YourNameA>さん。「<Argument>」っていう例って、他にはどんなものがあるか教えてよ。,
A04x,A,A04y,,,$えっと、あれ、なんて言おうとしたのか忘れちゃった。,えっと、あれ、なんて言おうとしたのか忘れちゃった。,
A04y,A,A050,,<LookNingen>,$そうだ、<YourNameA>さん。「<Argument>」っていう例って、なんだっけ,そうだ、<YourNameA>さん。「<Argument>」っていう例って、なんだっけ,
A050,A,A05a,,<LookKaijo>,@話し終わったら押してください。,なるほど、ありがとう,
A05a,D,A060;A062,<PrefDiv>,,$<Aiduchi>,<Aiduchi>,
#例の説明,#,,,,,,
A060,C,A070,,,$確かに、ぼくも「<Argument>」と思う。,確かに、ぼくも「<Argument>」と思う。<Detail>,<Positive>
A062,C,A06a,,,$<RoboNameA>はなんで「<Argument>」と思うの？全然わからないよ。,<RoboNameA>はなんで「<Argument>」と思うの？全然わからないよ。,
A06a,A,A070,,,$えっと、<Detail>,えっと、<Detail>,
A070,B,A082,,,<Aiduchi>,<Aiduchi>,
#,#,,,,,,
#反論の検討,#,,,,,,
A082,D,A08b,,<DisAgree>,$でも、<Refute>,でも、<Refute>,
A08b,A,A08c,,,$いやいや、<Rerefu>,いやいや、<Rerefu>,
A08c,B,A08d,,,$ちょっとまって、今の<RoboNameD>と<RoboNameA>のやりとり、よくわからなかった。,ちょっとまって、今の<RoboNameD>と<RoboNameA>のやりとり、よくわからなかった。,
A08d,C,A08e,,<LookNingen>,$えっと、<YourNameC>さん。いまの<RoboNameD>と<RoboNameA>のやり取り、まとめなおしてくれない？,えっと、<YourNameC>さん。いまの<RoboNameD>と<RoboNameA>のやり取り、まとめなおしてくれない？,
A08e,C,A090,,<LookKaijo>,@話し終わったら押してください。#下のやりとりをまとめてください。##<RoboNameD>「<Refute>」#<RoboNameA>「<Rerefu>」,なるほど、ありがとう、<YourNameC>さん。,
A090,B,A100;A101,,,$めっちゃ対立してるね。,めっちゃ対立してるね。,
#,#,,,,,,
#提起者の言い直し,#,,,,,,
A100,A,A110,,<Agree>,やっぱり、<Argument>と思うな。,やっぱり、<Argument>と思うな。,
A101,A,A110,,<Neutral>,常にとは言わないけど、基本的には「<Argument>」と思うな。,常にとは言わないけど、基本的には「<Argument>」と思うな。,
A102,A,A110,,<DisAgree>,自信がなくなってきたけど、「<Argument>」ていう考えが正しい場面もあると思う。,自信がなくなってきたけど、「<Argument>」ていう考えが正しい場面もあると思う。,
#,#,,,,,,
#視点を変える,#,,,,,,
A110,D,A11a,,,$全然納得できないよ,全然納得できないよ,
A11a,B,A120,,,$はあ、このまま考えていても埒が明かないなあ,はあ、このまま考えていても埒が明かないなあ,
#,#,,,,,,
#新しい視点の導入,#,,,,,,
A120,D,A130,,,$たしかに,たしかに。,<Positive>
