発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A010,C,A020;A022,,,$じゃあ、ぼくからいいかな。ぼくは「<MainClaim>」と思います。,じゃあ、ぼくからいいかな。ぼくは「<MainClaim>」と思います。,
#,#,,,,,,
#それぞれの意見表明,#,,,,,,
A020,A,A040;A042,,<Agree>,それ、わかるわー,それ、わかるわー,<Positive>
A022,A,A040;A042,,<DisAgree>,それには反対だな,それには反対だな。,<Negative>
#,#,,,,,,
#詳細の説明,#,,,,,,
A040,D,A05a,,<Agree>,<RoboNameC>の言うとおりだよ。,<RoboNameC>の言うとおりだよ。例えば、<Example>,
A042,D,A04x,,<DisAgree>,うーん、よくわからないな。例とかあるの？,うーん、よくわからないな。例とかあるの？,
A04x,C,A05a,,,$例えば、<Example>,例えば、<Example>,
A05a,B,A060;A062,<PrefDiv>,,$ふんふん,ふんふん,<Positive>
#,#,,,,,,
#例の説明,#,,,,,,
A060,A,A070,,,$確かに、ぼくも「<Argument>」と思う。,確かに、ぼくも「<Argument>」と思う。<Detail>,<Positive>
A062,A,A06a,,,$<RoboNameC>はなんで「<Argument>」と思うの？全然わからないよ。,<RoboNameC>はなんで「<Argument>」と思うの？全然わからないよ。,
A06a,C,A082,,,$えっと、<Detail>,えっと、<Detail>,
A070,D,A082,,,$たしかにね,たしかにね,<Positive>
#,#,,,,,,
#反論の検討,#,,,,,,
A082,B,A08b,,<DisAgree>,$でも、<Refute>,でも、<Refute>,
A08b,C,A08c,,,$いやいや、<Rerefu>,いやいや、<Rerefu>,
A08c,D,A08d,,,$ちょっとまって、今の<RoboNameB>と<RoboNameC>のやりとり、よくわからなかった。,ちょっとまって、今の<RoboNameB>と<RoboNameC>のやりとり、よくわからなかった。,
A08d,A,A08e,,<LookNingen>,$えっと、<YourNameA>さん。いまの<RoboNameB>と<RoboNameC>のやり取り、まとめなおしてくれない？,えっと、<YourNameA>さん。いまの<RoboNameB>と<RoboNameC>のやり取り、まとめなおしてくれない？,
A08e,A,A090,,<LookKaijo>,@あなたの言葉で二体のロボットの発言を言い換えてください。##<RoboNameB>「<Refute>」##<RoboNameC>「<Rerefu>」##　　　　（話し終わったら押してください）,なるほど、ありがとう、<YourNameA>さん。,
A090,D,A100;A101,,,$めっちゃ対立してるね。,めっちゃ対立してるね。,
#,#,,,,,,
#提起者の言い直し,#,,,,,,
A100,C,A110,,<Agree>,やっぱり、<Argument>と思うな。,やっぱり、<Argument>と思うな。,
A101,C,A110,,<Neutral>,常にとは言わないけど、基本的には「<Argument>」と思うな。,常にとは言わないけど、基本的には「<Argument>」と思うな。,
A102,C,A110,,<DisAgree>,自信がなくなってきたけど、「<Argument>」ていう考えが正しい場面もあると思う。,自信がなくなってきたけど、「<Argument>」ていう考えが正しい場面もあると思う。,
#,#,,,,,,
#視点を変える,#,,,,,,
A110,B,A11a,,,$まったく同意できないよ,まったく同意できないよ,<Negative>
A11a,D,A120,,,$はあ、このまま考えていても埒が明かないなあ,はあ、このまま考えていても埒が明かないなあ,<Negative>
#,#,,,,,,
#新しい視点の導入,#,,,,,,
A120,B,A130,,,$たしかに,たしかに。,<Positive>
A130,C,A150,,,$そういえば、さっき<YourNameC>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,そういえば、さっき<YourNameC>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,
A140,A,A150,,,$どういう意味なんだろう,どういう意味なんだろう,
A150,D,A160,,,$「<Perspec>」か、面白いね,「<Perspec>」か。面白いね。,<Positive>
A160,A,A170,,,$いままでの話とは関連するのかな？<YourNameC>さんに、どういう意味なのか聞いてみようよ。,いままでの話とは関連するのかな？<YourNameC>さんに、どういう意味なのか聞いてみようよ。,
A170,B,A180,,,$それいいね,それいいね。,<Positive>
A180,C,A190,,<LookNingen>,$<YourNameC>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,<YourNameC>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,
A190,C,A200,,<LookKaijo>,@（話し終わったら押してください）,ふーん,
A200,A,A210,,,$わかったような、わからないような。,わかったような、わからないような。,
A210,D,A220,,,$やっぱり人間は面白いことを言うね。,やっぱり人間は面白いことを言うね。,
#,,,,,,,
#人間を巻き込む,,,,,,,
A220,B,A230,,,$他の人間の意見も聞きたいな。,他の人間の意見も聞きたいな。,
A230,C,A240,,<LookNingenALL>,$ねえ人間のみんな、「<Argument>」って、ほんとうなの？5分くらいボクらは黙ってるから、話し合ってよ。,ねえ人間のみんな、「<Argument>」って、ほんとうなの？5分くらいボクらは黙ってるから、話し合ってよ。,
A240,D,A250,<NingenDiscuss>,<LookALLKaijo>,@はじめる（このボタンを見た人は、すぐ押してください。）,じゃあ、じゃあ、<YourNameA>さんからはじめてくれない？,
#,#,,,,,,
#そろそろ時間,#,,,,,,
A250,B,A260,,,$そろそろ時間だね。,そろそろ時間だね。,
A260,C,A270,,,$人間たちの意見、めっちゃ勉強になったね。,人間たちの意見、めっちゃ勉強になったね。,
A270,B,A280,,<LookNingen>,$じゃあ、<YourNameB>さん、人間のみんなの意見をまとめてください。,じゃあ、<YourNameB>さん、人間のみんなの意見を簡潔にまとめてください。,
A280,B,A290,,<LookKaijo>,@話し終わったら押してください。,なるほど,
A290,D,A300,,,$みんなありがとう。,みんなありがとう。またぼくたちでも考えてみるね。,<Positive>
A300,A,,<Transition>,,$みんなありがとう。,みんなありがとう。,<Positive>
