発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A010,D,A020;A021;A022,,,じゃあ、最後はボクかな。えっと、ボクは「<MainClaim>」と考えています。,じゃあ、最後はボクかな。えっと、ボクは「<MainClaim>」と考えています。,
#,,,,,,,
#それぞれの意見表明,,,,,,,
A020,B,A030;A031;A032,,<Agree>,そうだよな,そうだよな,<Positive>
A021,B,A030;A031;A032,,<Neutral>,ほうほう,ほうほう,
A022,B,A030;A031;A032,,<DisAgree>,正直のところ、反対だ,正直のところ、反対だ,<Negative>
A030,C,A040;A041;A042,,<Agree>,<RoboNameD>の意見に賛成だな,<RoboNameD>の意見に賛成だな。,<Positive>
A031,C,A040;A041;A042,,<Neutral>,なるほどね,なるほどね。,
A032,C,A040;A041;A042,,<DisAgree>,ぼくの考えとは違うな,ぼくの考えとは違うな。,<Negative>
#,,,,,,,
#詳細の説明,,,,,,,
A040,A,A050,,<Agree>,ぼくは賛成だな。,ぼくは賛成だな。<Example>,
A041,A,A04a,,<Neutral>,例があるとわかりやすいと思うけど、<RoboNameD>はどんな例を想定してるの？,例があるとわかりやすいと思うけど、<RoboNameD>はどんな例を想定してるの？,
A042,A,A04a,,<DisAgree>,正直それには反対だな。なんか例はあるの？,正直それには反対だな。なんか例はあるの？,
A04a,D,A050,,,<Example>,<Example>,
A050,C,A060;A061;A062,<PrefDiv>,,<Aiduchi>,<Aiduchi>,
#,,,,,,,
#例の説明,,,,,,,
A060,B,A070,,<Agree>,言われてみると、一理あるね。,言われてみると、一理あるね。<Detail>,<Positive>
A061,B,A06a,,<Neutral>,なんとなくわかったけど、もう少し詳しくお願い。,なんとなくわかったけど、もう少し詳しくお願い。,
A062,B,A06a,,<DisAgree>,うーん、正直間違ってると思けど。詳しく説明してよ。,うーん、正直間違ってると思けど。詳しく説明してよ。,
A06a,D,A070,,,えっと、<Detail>,えっと、<Detail>,
A070,A,A080;A081;A082,<PrefDiv>,,<Aiduchi>,<Aiduchi>,
#,,,,,,,
#反論の検討,,,,,,,
A080,C,A08a,,<Agree>,<RoboNameD>の言ってることには同意だけど、もし「<Refute>」みたいな反論があったらどうする？,<RoboNameD>の言ってることには同意だけど、もし「<Refute>」みたいな反論があったらどうする？,
A081,C,A08a,,<Neutral>,反対したいわけではないけど、「<Refute>」みたいな反論もあると思う。,反対したいわけではないけど、「<Refute>」みたいな反論もあると思う。,
A082,C,A08b,,<DisAgree>,<RoboNameD>の主張は間違ってる気がする。だって<Refute>,<RoboNameD>の主張は間違ってる気がする。だって<Refute>,
A08a,D,A090,,,うーん、<Rerefu>,うーん、<Rerefu>,
A08b,D,A090,,,<Rerefu>,<Rerefu>,
A090,B,A100;A101;A102,,,<Aiduchi>,<Aiduchi>,
#,,,,,,,
#提起者の言い直し,,,,,,,
A100,D,A110,,<Agree>,やっぱり、<Argument>と思うな。,やっぱり、<Argument>と思うな。,
A101,D,A110,,<Neutral>,でも、今話しながら考えてたんだけど、「<Argument>」というのはちょっと言い過ぎだったかも。,でも、今話しながら考えてたんだけど、「<Argument>」というのはちょっと言い過ぎだったかも。,
A102,D,A110,,<DisAgree>,一方で、今みたいな反論を考慮すると、<Argument>っていうのは間違っているような気もしてきた。,一方で、今みたいな反論を考慮すると、<Argument>っていうのは、間違っているような気もしてきた。,
#,,,,,,,
#視点を変える,,,,,,,
A110,A,A120,,,議論が煮詰まってきたね。,議論が煮詰まってきたね。,
#,,,,,,,
#新しい視点の導入,,,,,,,
A120,C,A130,,,そうだね,そうだね,<Positive>
A130,D,A140,,,そういえば、ボクも<YourNameD>さんに教えてもらった言葉があるよ。えっと「<Perspec>」,そういえば、ボクも<YourNameD>さんに教えてもらった言葉があるよ。えっと。「<Perspec>」,
A140,B,A150,,,わかるような、わからんような。,わかるような、わからんような。,
A150,A,A160,,,「<Perspec>」とは、どういうことかな。,「<Perspec>」とは、どういうことかな。,<Positive>
A160,B,A170,,,いままでの話とはなにか関連するのかな？<YourNameC>さんに、どういう意味なのか聞いてみようよ。,いままでの話とはなにか関連するのかな？<YourNameC>さんに、どういう意味なのか聞いてみようよ。,
A170,C,A180,,,そうしよう,そうしよう。,<Positive>
A180,D,A190,,<LookNingen>,$<YourNameD>さん。「<Perspec>」って、「<Argument>という主張は正しいか」っていう論点に照らすと、どういう意味なの？,$<YourNameD>さん。「<Perspec>」って、「<Argument>という主張は正しいか」っていう論点に照らすと、どういう意味なの？,
A190,D,A200,,<LookKaijo>,@あなたが話し終わったら押してください。,ふーん,
A200,B,A210,,,なるほど。わかったような、わからないような。,なるほど。わかったような、わからないような。,
A210,A,A220,,,やっぱり人間は面白いことを言うね。,やっぱり人間は面白いことを言うね。,
#,,,,,,,
#人間を巻き込む,,,,,,,
A220,C,A230,,,「<Topic>」について、他の人間の意見も聞きたいな。,「<Topic>」について、他の人間の意見も聞きたいな。,
A220,D,A230,,,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,
A230,B,A240,,<LookNingenALL>,5分くらいぼくらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。「<Topic>とは何か」についても、思いついたことがあればまとめてください。,5分くらいぼくらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。「<Topic>とは何か」についても、思いついたことがあればまとめてください。,
A240,D,A250,<NingenDiscuss>,<LookALLKaijo>,@はじめる,じゃあ、はじめてくれない？話すときは、手元にあるモニターのボタンを押してから話してね。,
#,,,,,,,
#そろそろ時間,,,,,,,
A250,C,A260,,<LookALLKaijo>,そろそろ時間だね。,そろそろ時間だね。,
A260,D,A270,,,人間たちの意見、めっちゃ勉強になったね。,人間たちの意見、めっちゃ勉強になったね。,
A270,C,A280,,<LookNingen>,$じゃあ、<YourNameC>さん、人間のみんなの意見をまとめてください。,じゃあ、<YourNameC>さん、人間のみんなの意見をまとめてください。,
A280,C,A290,,<LookKaijo>,@あなたが話し終わったら押してください。,なるほど,
A290,D,A300,,,$みんなありがとう。そろそろ終わりだね。,みんなありがとう。そろそろ終わりだね。,<Positive>
A300,B,,<Terminate>,,$話せてよかったね。ありがとう、じゃあね。,話せてよかったね。ありがとう、じゃあね。,
