発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A010,C,A020;A022,,,$ぼくからいいかな。ぼくは「<MainClaim>」と思います。,ぼくからいいかな。ぼくは「<MainClaim>」と思います。,
#,#N/A,,,,,,
#それぞれの意見表明,#N/A,,,,,,
A020,B,A040;A042,,<Agree>,やっぱそうだよね,やっぱそうだよね。,<Positive>
A022,B,A040;A042,,<DisAgree>,それには反対だな,それには反対だな。,<Negative>
#,#N/A,,,,,,
#詳細の説明,#N/A,,,,,,
A040,D,A04a,,<Agree>,<RoboNameC>の言うとおりだよ。,<RoboNameC>の言うとおりだよ。例えば、<Example>,
A042,D,A04x,,<DisAgree>,うーん、よくわからないな。例とかあるの？,うーん、よくわからないな。例とかあるの？,
A04a,B,A04b,,,$なるほど。じゃあ言い出しっぺの<RoboNameC>は、どんな例を考えているの？,なるほど、じゃあ言い出しっぺの<RoboNameC>は、どんな例を考えているの？,
A04b,C,A04c,,,$えっと、さっき考えていたのは今言われちゃったな、どうしよう。,えっと、さっき考えていたのは今言われちゃったな、どうしよう。,
A04c,C,A050,,<LookNingen>,$そうだ、<YourNameC>さん。「<Argument>」っていう例って、他にはどんなものがあるか教えてよ。,そうだ、<YourNameC>さん。「<Argument>」っていう例って、他にはどんなものがあるか教えてよ。,
A04x,C,A04y,,,$えっと、あれ、なんて言おうとしたのか忘れちゃった。,えっと、あれ、なんて言おうとしたのか忘れちゃった。,
A04y,C,A050,,<LookNingen>,$そうだ、<YourNameC>さん。「<Argument>」っていう例って、なんだっけ,そうだ、<YourNameC>さん。「<Argument>」っていう例って、なんだっけ,
A050,C,A05a,,<LookKaijo>,@話し終わったら押してください。,なるほど、ありがとう,
A05a,B,A060;A062,<PrefDiv>,,$<Aiduchi>,<Aiduchi>,
#,#N/A,,,,,,
#例の説明,#N/A,,,,,,
A060,A,A070,,,$考えたんだけど、確かに「<Argument>」と思う。,考えたんだけど、確かに「<Argument>」と思う。<Detail>,<Positive>
A062,A,A06a,,,$<RoboNameC>はなんで「<Argument>」と思うの？全然わからないよ。,<RoboNameC>はなんで「<Argument>」と思うの？全然わからないよ。,
A06a,C,A070,,,$えっと、<Detail>,えっと、<Detail>,
A070,D,A082,,,<Aiduchi>,<Aiduchi>,
#,#N/A,,,,,,
#反論の検討,#N/A,,,,,,
A082,B,A08b,,<DisAgree>,$<Refute>,<Refute>,
A08b,C,A090,,,$<Rerefu>,<Rerefu>,
A090,A,A100;A101;A102,,,$<Aiduchi>,<Aiduchi>,
#,#N/A,,,,,,
#提起者の言い直し,#N/A,,,,,,
A100,C,A110,,<Agree>,やっぱり、<Argument>と思うな。,やっぱり、<Argument>と思うな。,
A101,C,A110,,<Neutral>,でも、「<Argument>」というのはちょっと言い過ぎかもしれないな。,でも、いま話しながら考えてたんだけど、「<Argument>」というのは、ちょっと言い過ぎかもしれないな。,
