発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A001,CC,A002,,,$最初に自己紹介をしようよ。ぼくは、<RoboNameCC>っていいます。そしてぼくの後ろにいるのが<YourNameCC>さんです。,最初に自己紹介をしようよ。ぼくは、<RoboNameCC>っていいます。そしてぼくの後ろにいるのが<YourNameCC>さんです。,
A002,CC,A003,,<LookNingen>,$じゃあ<YourNameCC>さん、自己紹介してください。,じゃあ<YourNameCC>さん、自己紹介してください。,
A003,CC,A004,,<LookKaijo>,@話し終わったら押してください。,<YourNameCC>さん、ありがとう,
A004,AA,A005,,,$ぼくは、<RoboNameAA>です。ぼくの後ろにいるのが<YourNameAA>さんです。,ぼくは、<RoboNameAA>です。ぼくの後ろにいるのが<YourNameAA>さんです。,
A005,AA,A006,,<LookNingen>,$<YourNameAA>さん、自己紹介してください。,<YourNameAA>さん、自己紹介してください。,
A006,AA,A007,,<LookKaijo>,@話し終わったら押してください。,<YourNameAA>さん、よろしく,
A007,DD,A008,,,$ボクの名前は<RoboNameDD>です。後ろにいるのが<YourNameDD>さんだよ。,ボクの名前は<RoboNameDD>です。後ろにいるのが<YourNameDD>さんだよ。,
A008,DD,A009,,<LookNingen>,$<YourNameDD>さん、自己紹介してください。,<YourNameDD>さん、自己紹介してください。,
A009,DD,A00A,,<LookKaijo>,@話し終わったら押してください。,<YourNameDD>さん、よろしく,
A00A,BB,A00B,,,$ボクの名前は<RoboNameBB>です。後ろにいるのが<YourNameBB>さんだよ。,ボクの名前は<RoboNameBB>です。後ろにいるのが<YourNameBB>さんだよ。,
A00B,BB,A00C,,<LookNingen>,$<YourNameBB>さん、自己紹介してください。,<YourNameBB>さん、自己紹介してください。,
A00C,BB,A010,,<LookKaijo>,@話し終わったら押してください。,<YourNameBB>さん、よろしく,
#紹介
#紹介
#紹介
A010,AA,A020;A022,,,$じゃあ、ぼくからいいかな。ぼくは「<MainClaim>」と思います。,じゃあ、ぼくからいいかな。ぼくは「<MainClaim>」と思います。,
#,#,,,,,,
#それぞれの意見表明,#,,,,,,
A020,CC,A040;A042,,<Agree>,やっぱそうだよね,やっぱそうだよね。,<Positive>
A022,CC,A040;A042,,<DisAgree>,それには反対だな,それには反対だな。,<Negative>
#,#,,,,,,
#詳細の説明,#,,,,,,
A040,BB,A04a,,<Agree>,<RoboNameAA>の言うとおりだよ。,<RoboNameAA>の言うとおりだよ。例えば、<Example>,
A042,BB,A04x,,<DisAgree>,うーん、よくわからないな。例とかあるの？,うーん、よくわからないな。例とかあるの？,
A04a,DD,A04b,,,$なるほど。じゃあ言い出しっぺの<RoboNameAA>は、どんな例を考えているの？,なるほど、じゃあ言い出しっぺの<RoboNameAA>は、どんな例を考えているの？,
A04b,AA,A04c,,,$えっと、さっき考えていたのは今言われちゃったな、どうしよう。,えっと、さっき考えていたのは今言われちゃったな、どうしよう。,
A04c,AA,A050,,<LookNingen>,$そうだ、<YourNameAA>さん。「<Argument>」っていう例って、他にはどんなものがあるか教えてよ。,そうだ、<YourNameAA>さん。「<Argument>」っていう例って、他にはどんなものがあるか教えてよ。,
A04x,AA,A04y,,,$えっと、あれ、なんて言おうとしたのか忘れちゃった。,えっと、あれ、なんて言おうとしたのか忘れちゃった。,
A04y,AA,A050,,<LookNingen>,$そうだ、<YourNameAA>さん。「<Argument>」っていう例って、なんだっけ,そうだ、<YourNameAA>さん。「<Argument>」っていう例って、なんだっけ,
A050,AA,A05a,,<LookKaijo>,@話し終わったら押してください。,なるほど、ありがとう,
A05a,DD,A060;A062,<PrefDiv>,,$<Aiduchi>,<Aiduchi>,
#,#,,,,,,
#例の説明,#,,,,,,
