発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
#A250,D,A260,,,$そろそろ時間だね。,そろそろ時間だね。,
A010,A,A020;A022,,,$じゃあ、ぼくからいいかな。ぼくは「<MainClaim>」っていう意見を持ってます。,じゃあ、ぼくからいいかな。ぼくは「<MainClaim>」っていう意見を持ってます。,
#,#,,,,,,
#それぞれの意見表明,#,,,,,,
A020,C,A040;A042,,<Agree>,僕もそうだと思う。,僕もそうだと思う。,<Positive>
A022,C,A040;A042,,<DisAgree>,それには反対だな,それには反対だな。,<Negative>
#,#,,,,,,
#詳細の説明,#,,,,,,
A040,B,A05a,,<Agree>,<RoboNameA>の言うとおりだよ。,<RoboNameA>の言うとおりだよ。例えば、<Example>,
A042,B,A04x,,<DisAgree>,うーん、よくわからないな。例とかあるの？,うーん、よくわからないな。例とかあるの？,
A04x,A,A05a,,,$例えば、<Example>,例えば、<Example>,
A05a,D,A060;A062,<PrefDiv>,,$ほほう,ほほう,<Positive>
#例の説明,#,,,,,,
A060,C,A070,,,$確かに、ぼくも「<Argument>」と思う。,確かに、ぼくも「<Argument>」と思う。<Detail>,<Positive>
A062,C,A06a,,,$<RoboNameA>はなんで「<Argument>」と思うの？全然わからないよ。,<RoboNameA>はなんで「<Argument>」と思うの？全然わからないよ。,
A06a,A,A082,,,$えっと、<Detail>,えっと、<Detail>,
A070,B,A082,,,$なるほど,なるほど,<Positive>
#,#,,,,,,
#反論の検討,#,,,,,,
A082,D,A08b,,<DisAgree>,$でも、<Refute>,でも、<Refute>,
A08b,A,A08c,,,$いやいや、<Rerefu>,いやいや、<Rerefu>,
A08c,B,A08d,,,$ちょっとまって、今の<RoboNameD>と<RoboNameA>のやりとり、よくわからなかった。,ちょっとまって、今の<RoboNameD>と<RoboNameA>のやりとり、よくわからなかった。,
A08d,C,A08e,,<LookNingen>,$えっと、<YourNameC>さん。いまの<RoboNameD>と<RoboNameA>のやり取り、まとめなおしてくれない？,えっと、<YourNameC>さん。いまの<RoboNameD>と<RoboNameA>のやり取り、まとめなおしてくれない？,
A08e,C,A090,,<LookKaijo>,@あなたの言葉で二体のロボットの発言を言い換えてください。##<RoboNameD>「<Refute>」##<RoboNameA>「<Rerefu>」##　　　　（話し終わったら押してください）,なるほど、ありがとう、<YourNameC>さん。,
A090,B,A100;A101,,,$めっちゃ対立してるね。,めっちゃ対立してるね。,
#,#,,,,,,
#提起者の言い直し,#,,,,,,
A100,A,A110,,<Agree>,やっぱり、<Argument>と思うな。,やっぱり、<Argument>と思うな。,
A101,A,A110,,<Neutral>,常にとは言わないけど、基本的には「<Argument>」と思うな。,常にとは言わないけど、基本的には「<Argument>」と思うな。,
A102,A,A110,,<DisAgree>,自信がなくなってきたけど、「<Argument>」ていう考えが正しい場面もあると思う。,自信がなくなってきたけど、「<Argument>」ていう考えが正しい場面もあると思う。,
#,#,,,,,,
#視点を変える,#,,,,,,
A110,D,A11a,,,$まったく同意できないよ,まったく同意できないよ,<Negative>
A11a,B,A120,,,$はあ、このまま考えていても埒が明かないなあ,はあ、このまま考えていても埒が明かないなあ,<Negative>
#,#,,,,,,
#新しい視点の導入,#,,,,,,
A120,D,A130,,,$たしかに,たしかに。,<Positive>
A130,A,A150,,,$そういえば、さっき<YourNameA>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,そういえば、さっき<YourNameA>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,
A140,C,A150,,,$どういう意味なんだろう,どういう意味なんだろう,
A150,B,A160,,,$「<Perspec>」か、面白いね,「<Perspec>」か。面白いね。,<Positive>
A160,C,A170,,,$いままでの話とは関連するのかな？<YourNameA>さんに、どういう意味なのか聞いてみようよ。,いままでの話とは関連するのかな？<YourNameA>さんに、どういう意味なのか聞いてみようよ。,
A170,D,A180,,,$それいいね,それいいね。,<Positive>
