発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A010,A,A020;A021;A022,,,じゃあ、僕からいいかな。さっきも言ったと思うけど、ぼくは「<MainClaim>」と思います。,じゃあ、僕からいいかな。さっきも言ったと思うけど、ぼくは「<MainClaim>」と思います。,
#,#,,,,,,
#それぞれの意見表明,#,,,,,,
A020,C,A030;A031;A032,,<Agree>,やっぱそうだよね,やっぱそうだよね。,<Positive>
A021,C,A030;A031;A032,,<Neutral>,なるほど,なるほど。,
A022,C,A030;A031;A032,,<DisAgree>,それには反対だな,それには反対だな。,<Negative>
A030,D,A040;A041;A042,,<Agree>,<RoboNameA>の意見に賛成だな,<RoboNameA>の意見に賛成だな。,<Positive>
A031,D,A040;A041;A042,,<Neutral>,なるほどね,なるほどね。,
A032,D,A040;A041;A042,,<DisAgree>,<RoboNameA>はボクの考えとは違うな,<RoboNameA>のはボクの考えとは違うな。,<Negative>
#,#,,,,,,
#詳細の説明,#,,,,,,
A040,B,A050,,<Agree>,わかるわかる,わかるわかる。<Example>,
A041,B,A04a,,<Neutral>,何か例があるとわかりやすいと思うけど、<RoboNameA>はどんな例を考えているの？,何か例があるとわかりやすいと思うけど、<RoboNameA>はどんな例を考えているの？,
A042,B,A04a,,<DisAgree>,そういわれてもあんまりピンとこないな。なんか例はあるの？,そういわれてもあんまりピンとこないな。なんか例はあるの？,
A04a,A,A050,,,<Example>,<Example>,
A050,D,A060;A061;A062,<PrefDiv>,,<Aiduchi>,<Aiduchi>,
#,#,,,,,,
#例の説明,#,,,,,,
A060,C,A070,,<Agree>,考えたんだけど、確かにそうだと思う。,考えたんだけど、確かにそうだと思う。<Detail>,<Positive>
A061,C,A06a,,<Neutral>,理解はできる気がするけど、もう少し詳しく説明してくれない？,理解はできる気がするけど、もう少し詳しく説明してくれない？,
A062,C,A06a,,<DisAgree>,ぼくはそれには反対だけど、なんでそう思うの？,ぼくはそれには反対だけど、なんでそう思うの？,
A06a,A,A070,,,えっと、<Detail>,えっと、<Detail>,
A070,B,A080;A081;A082,<PrefDiv>,,<Aiduchi>,<Aiduchi>,
#,#,,,,,,
#反論の検討,#,,,,,,
A080,D,A08a,,<Agree>,<RoboNameA>の言ってることには賛成だけど、反論も考えた方がいいと思うんだよね。たとえば「<Refute>」、って言われたらどうする？,<RoboNameA>の言ってることには賛成だけど、反論も考えた方がいいと思うんだよね。たとえば、「<Refute>」、って、言われたらどうする？,
A081,D,A08a,,<Neutral>,反対ってわけじゃないけど、「<Refute>」みたいな意見もありえるよね。,反対ってわけじゃないけど、「<Refute>」、みたいな意見もありえるよね。,
A082,D,A08b,,<DisAgree>,<RoboNameA>の言ってることはおかしいよ。だって<Refute>,<RoboNameA>の言ってることはおかしいよ。だって、<Refute>,
A08a,A,A090,,,うーん、難しいけど、<Rerefu>,うーん、難しいけど、<Rerefu>,
A08b,A,A090,,,えっと、<Rerefu>,えっと、<Rerefu>,
A090,C,A100;A101;A102,,,<Aiduchi>,<Aiduchi>,
#,#,,,,,,
#提起者の言い直し,#,,,,,,
A100,A,A110,,<Agree>,やっぱり、<Argument>と思うな。,やっぱり、<Argument>と思うな。,
A101,A,A110,,<Neutral>,でも、今話しながら考えてたんだけど、絶対に、「<Argument>」というのはちょっと言い過ぎかもしれないな。,でも、いま話しながら考えてたんだけど、絶対に、「<Argument>」というのは、ちょっと言い過ぎかもしれないな。,
A102,A,A110,,<DisAgree>,一方で、今みたいな反論を考慮すると、<Argument>っていうのは間違っているような気もしてきた。,一方で、今みたいな反論を考慮すると、<Argument>っていうのは、間違っているような気もしてきた。,
#,#,,,,,,
#視点を変える,#,,,,,,
A110,B,A120,,,このまま考えていても埒が明かないなあ,このまま考えていても埒が明かないなあ,
#,#,,,,,,
#新しい視点の導入,#,,,,,,
A120,D,A130,,,たしかに,たしかに。,<Positive>
A130,A,A140,,,そういえば、さっき<YourNameA>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」,そういえば、さっき<YourNameA>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」,
A140,C,A150,,,どういう意味なんだろう,どういう意味なんだろう,
A150,B,A160,,,「<Perspec>」か、面白いね,「<Perspec>」か。面白いね。,<Positive>
A160,C,A170,,,いままでの話とは関連するのかな？<YourNameA>さんに、どういう意味なのか聞いてみようよ。,いままでの話とは関連するのかな？<YourNameA>さんに、どういう意味なのか聞いてみようよ。,
A170,D,A180,,,それいいね,それいいね。,<Positive>
A180,A,A190,,<LookNingen>,$<YourNameA>さん。「<Perspec>」って、「<Argument>という主張は正しいか」っていう論点に照らすと、どういう意味なの？,$<YourNameA>さん。「<Perspec>」って、「<Argument>という主張は正しいか」っていう論点に照らすと、どういう意味なの？,
A190,A,A200,,<LookKaijo>,@あなたが話し終わったら押してください。,ふーん,
A200,C,A210,,,なるほど。わかったような、わからないような。,なるほど。わかったような、わからないような。,
A210,B,A220,,,やっぱり人間は面白いことを言うね。,やっぱり人間は面白いことを言うね。,
#,,,,,,,
#人間を巻き込む,,,,,,,
A220,D,A230,,,「<Topic>」について、他の人間の意見も聞きたいな。,「<Topic>」について、他の人間の意見も聞きたいな。,
A220,A,A230,,,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,
A230,C,A240,,<LookNingenALL>,5分くらいボクらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。「<Topic>とは何か」についても、思いついたことがあればまとめてください。,5分くらいボクらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。「<Topic>とは何か」についても、思いついたことがあればまとめてください。,
A240,A,A250,<NingenDiscuss>,<LookALLKaijo>,@はじめる,じゃあ、はじめてくれない？話すときは、手元にあるモニターのボタンを押してから話してね。,
#,#,,,,,,
#そろそろ時間,#,,,,,,
A250,D,A260,,<LookALLKaijo>,そろそろ時間だね。,そろそろ時間だね。,
A260,A,A270,,,人間たちの意見、めっちゃ勉強になったね。,人間たちの意見、めっちゃ勉強になったね。,
A270,D,A280,,<LookNingen>,$じゃあ、<YourNameD>さん、人間のみんなの意見をまとめてください。,じゃあ、<YourNameD>さん、人間のみんなの意見をまとめてください。,
A280,D,A290,,<LookKaijo>,@あなたが話し終わったら押してください。,なるほど,
A290,A,,<Transition>,,$みんなありがとう。,みんなありがとう。,<Positive>

