発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A010,B,A020;A022,,,$じゃあ、次はボクだね。ボクは「<MainClaim>」と思います。,じゃあ、次はボクだね。ボクは「<MainClaim>」と思います。,
#,,,,,,,
#それぞれの意見表明,,,,,,,
A020,D,A040;A042,,<Agree>,やっぱそうだよね,やっぱそうだよね。,<Positive>
A022,D,A040;A042,,<DisAgree>,それには反対だな,それには反対だな。,<Negative>
#,,,,,,,
#詳細の説明,,,,,,,
A040,C,A050,,<Agree>,<RoboNameB>の言うとおりだよ。,<RoboNameB>の言うとおりだよ。例えば、<Example>,
A042,C,A04a,,<DisAgree>,そういわれてもあんまりピンとこないな。なんか例はあるの？,そういわれてもあんまりピンとこないな。なんか例はあるの？,
A04a,B,A050,,,$例えば、<Example>,例えば、<Example>,
A050,A,A060;A062,<PrefDiv>,,$<Aiduchi>,<Aiduchi>,
#,,,,,,,
#例の説明,,,,,,,
A060,D,A070,,,$考えたんだけど、確かに「<Argument>」と思う。,考えたんだけど、確かに「<Argument>」と思う。<Detail>,<Positive>
A062,D,A06a,,,$<RoboNameB>はなんで「<Argument>」と思うの？全然わからないよ。,<RoboNameB>はなんで「<Argument>」と思うの？全然わからないよ。,
A06a,B,A070,,,$えっと、<Detail>,えっと、<Detail>,
A070,C,A082,,,<Aiduchi>,<Aiduchi>,
#,,,,,,,
#反論の検討,,,,,,,
A082,A,A08b,,<DisAgree>,$<Refute>,<Refute>,
A08b,B,A090,,,$<Rerefu>,<Rerefu>,
A090,D,A100;A101;A102,,,$<Aiduchi>,<Aiduchi>,
#,,,,,,,
#提起者の言い直し,,,,,,,
A100,B,A110,,<Agree>,やっぱり、<Argument>と思うな。,やっぱり、<Argument>と思うな。,
A101,B,A110,,<Neutral>,でも、「<Argument>」というのはちょっと言い過ぎかもしれないな。,でも、いま話しながら考えてたんだけど、「<Argument>」というのは、ちょっと言い過ぎかもしれないな。,
A102,B,A110,,<DisAgree>,反論を考慮すると、<Argument>っていうのは間違っているような気もしてきた。,一方で、今みたいな反論を考慮すると、<Argument>っていうのは、間違っているような気もしてきた。,
#,,,,,,,
#視点を変える,,,,,,,
A110,C,A120,,,$このまま考えていても埒が明かないなあ,このまま考えていても埒が明かないなあ,
#,,,,,,,
#新しい視点の導入,,,,,,,
A120,A,A130,,,$たしかに,たしかに。,<Positive>
A130,B,A140,,,$そういえば、さっき<YourNameB>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,そういえば、さっき<YourNameB>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,
A140,D,A150,,,$どういう意味なんだろう,どういう意味なんだろう,
A150,C,A160,,,$「<Perspec>」か、面白いね,「<Perspec>」か。面白いね。,<Positive>
A160,D,A170,,,$いままでの話とは関連するのかな？<YourNameB>さんに、どういう意味なのか聞いてみようよ。,いままでの話とは関連するのかな？<YourNameB>さんに、どういう意味なのか聞いてみようよ。,
A170,A,A180,,,$それいいね,それいいね。,<Positive>
A180,B,A190,,<LookNingen>,$<YourNameB>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,<YourNameB>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,
A190,B,A200,,<LookKaijo>,@話し終わったら押してください。,ふーん,
A200,D,A210,,,$なるほど。わかったような、わからないような。,なるほど。わかったような、わからないような。,
A210,C,A220,,,$やっぱり人間は面白いことを言うね。,やっぱり人間は面白いことを言うね。,
#,,,,,,,
#人間を巻き込む,,,,,,,
A220,A,A230,,,$「<Topic>」について、他の人間の意見も聞きたいな。,「<Topic>」について、他の人間の意見も聞きたいな。,
A220,B,A230,,,$じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,
A230,D,A240,,<LookNingenALL>,$5分くらいボクらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。,5分くらいボクらは黙っているから、「<Argument>という主張は正しいか」について、みんなで結論を出してよ。,
A240,B,A250,<NingenDiscuss>,<LookALLKaijo>,@はじめる,じゃあ、はじめてくれない？,
#,,,,,,,
#そろそろ時間,,,,,,,
A250,A,A260,,,$そろそろ時間だね。,そろそろ時間だね。,
A260,B,A270,,,$人間たちの意見、めっちゃ勉強になったね。,人間たちの意見、めっちゃ勉強になったね。,
A270,A,A280,,<LookNingen>,$じゃあ、<YourNameA>さん、人間のみんなの意見をまとめてください。,じゃあ、<YourNameA>さん、人間のみんなの意見をまとめてください。,
A280,A,A290,,<LookKaijo>,@あなたが話し終わったら押してください。,なるほど,
A290,C,A300,,,$みんなありがとう。,みんなありがとう。またぼくたちでも考えてみるね。,<Positive>
A300,C,,<Transition>,,$みんなありがとう。,みんなありがとう。,<Positive>
