発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話,態度
A010,D,A020;A022,,,$じゃあ、ぼくからいいかな。ぼくは「<MainClaim>」と思います。,じゃあ、ぼくからいいかな。ぼくは「<MainClaim>」と思います。,
#,#,,,,,,
#それぞれの意見表明,#,,,,,,
A020,B,A040;A042,,<Agree>,やっぱそうだよね,やっぱそうだよね。,<Positive>
A022,B,A040;A042,,<DisAgree>,それには反対だな,それには反対だな。,<Negative>
#,#,,,,,,
#詳細の説明,#,,,,,,
A040,A,A04a,,<Agree>,<RoboNameD>の言うとおりだよ。,<RoboNameD>の言うとおりだよ。例えば、<Example>,
A042,A,A04x,,<DisAgree>,うーん、よくわからないな。例とかあるの？,うーん、よくわからないな。例とかあるの？,
A04a,C,A04b,,,$なるほど。じゃあ言い出しっぺの<RoboNameD>は、どんな例を考えているの？,なるほど、じゃあ言い出しっぺの<RoboNameD>は、どんな例を考えているの？,
A04b,D,A04c,,,$えっと、さっき考えていたのは今言われちゃったな、どうしよう。,えっと、さっき考えていたのは今言われちゃったな、どうしよう。,
A04c,D,A050,,<LookNingen>,$そうだ、<YourNameD>さん。「<Argument>」っていう例って、他にはどんなものがあるか教えてよ。,そうだ、<YourNameD>さん。「<Argument>」っていう例って、他にはどんなものがあるか教えてよ。,
A04x,D,A04y,,,$えっと、あれ、なんて言おうとしたのか忘れちゃった。,えっと、あれ、なんて言おうとしたのか忘れちゃった。,
A04y,D,A050,,<LookNingen>,$そうだ、<YourNameD>さん。「<Argument>」っていう例って、なんだっけ,そうだ、<YourNameD>さん。「<Argument>」っていう例って、なんだっけ,
A050,D,A05a,,<LookKaijo>,@話し終わったら押してください。,なるほど、ありがとう,
A05a,C,A060;A062,<PrefDiv>,,$<Aiduchi>,<Aiduchi>,
#,#,,,,,,
#例の説明,#,,,,,,
A060,B,A070,,,$確かに、ぼくも「<Argument>」と思う。,確かに、ぼくも「<Argument>」と思う。<Detail>,<Positive>
A062,B,A06a,,,$<RoboNameD>はなんで「<Argument>」と思うの？全然わからないよ。,<RoboNameD>はなんで「<Argument>」と思うの？全然わからないよ。,
A06a,D,A070,,,$えっと、<Detail>,えっと、<Detail>,
A070,A,A082,,,<Aiduchi>,<Aiduchi>,
#,#,,,,,,
#反論の検討,#,,,,,,
A082,C,A08b,,<DisAgree>,$でも、<Refute>,でも、<Refute>,
A08b,D,A08c,,,$いやいや、<Rerefu>,いやいや、<Rerefu>,
A08c,A,A08d,,,$ちょっとまって、今の<RoboNameC>と<RoboNameD>のやりとり、よくわからなかった。,ちょっとまって、今の<RoboNameC>と<RoboNameD>のやりとり、よくわからなかった。,
A08d,B,A08e,,<LookNingen>,$えっと、<YourNameB>さん。いまの<RoboNameC>と<RoboNameD>のやり取り、まとめなおしてくれない？,えっと、<YourNameB>さん。いまの<RoboNameC>と<RoboNameD>のやり取り、まとめなおしてくれない？,
A08e,B,A090,,<LookKaijo>,@話し終わったら押してください。#下のやりとりをまとめてください。##<RoboNameC>「<Refute>」#<RoboNameD>「<Rerefu>」,なるほど、ありがとう、<YourNameB>さん。,
A090,A,A100;A101,,,$めっちゃ対立してるね。,めっちゃ対立してるね。,
#,#,,,,,,
#提起者の言い直し,#,,,,,,
A100,D,A110,,<Agree>,やっぱり、<Argument>と思うな。,やっぱり、<Argument>と思うな。,
A101,D,A110,,<Neutral>,常にとは言わないけど、基本的には「<Argument>」と思うな。,常にとは言わないけど、基本的には「<Argument>」と思うな。,
A102,D,A110,,<DisAgree>,自信がなくなってきたけど、「<Argument>」ていう考えが正しい場面もあると思う。,自信がなくなってきたけど、「<Argument>」ていう考えが正しい場面もあると思う。,
#,#,,,,,,
#視点を変える,#,,,,,,
A110,C,A11a,,,$全然納得できないよ,全然納得できないよ,
A11a,A,A120,,,$はあ、このまま考えていても埒が明かないなあ,はあ、このまま考えていても埒が明かないなあ,
#,#,,,,,,
#新しい視点の導入,#,,,,,,
A120,C,A130,,,$たしかに,たしかに。,<Positive>
A130,D,A140,,,$そういえば、さっき<YourNameD>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,そういえば、さっき<YourNameD>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」、だったかな。,
A140,B,A150,,,$どういう意味なんだろう,どういう意味なんだろう,
A150,A,A160,,,$「<Perspec>」か、面白いね,「<Perspec>」か。面白いね。,<Positive>
A160,B,A170,,,$いままでの話とは関連するのかな？<YourNameD>さんに、どういう意味なのか聞いてみようよ。,いままでの話とは関連するのかな？<YourNameD>さんに、どういう意味なのか聞いてみようよ。,
A170,C,A180,,,$それいいね,それいいね。,<Positive>
A180,D,A190,,<LookNingen>,$<YourNameD>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,<YourNameD>さん。「<Perspec>」ってどういうこと？「<Argument>」っていうさっきのぼくの意見と、何か関係ありますか。,
A190,D,A200,,<LookKaijo>,@話し終わったら押してください。,ふーん,
A200,B,A210,,,$なるほど。わかったような、わからないような。,なるほど。わかったような、わからないような。,
A210,A,A220,,,$やっぱり人間は面白いことを言うね。,やっぱり人間は面白いことを言うね。,
#,,,,,,,
#人間を巻き込む,,,,,,,
A220,C,A230,,,$他の人間の意見も聞きたいな。,他の人間の意見も聞きたいな。,
A220,B,A230,,,$それいいね。,それいいね。,<Positive>
A230,D,A240,,<LookNingenALL>,$ねえ人間のみんな、「<Argument>」って、ほんとうなの？5分くらいボクらは黙ってるから、話し合ってよ。,ねえ人間のみんな、「<Argument>」って、ほんとうなの？5分くらいボクらは黙ってるから、話し合ってよ。,
A240,A,A250,<NingenDiscuss>,<LookALLKaijo>,@はじめる（このボタンを見た人は、すぐ押してください。）,はじめてくれない？,
#,#,,,,,,
#そろそろ時間,#,,,,,,
A250,C,A260,,,$そろそろ時間だね。,そろそろ時間だね。,
A260,D,A270,,,$人間たちの意見、めっちゃ勉強になったね。,人間たちの意見、めっちゃ勉強になったね。,
A270,C,A280,,<LookNingen>,$じゃあ、<YourNameC>さん、人間のみんなの意見をまとめてください。,じゃあ、<YourNameC>さん、人間のみんなの意見をまとめてください。,
A280,C,A290,,<LookKaijo>,@話し終わったら押してください。,なるほど,
A290,A,A300,,,$みんなありがとう。,みんなありがとう。またぼくたちでも考えてみるね。,<Positive>
A300,B,,<Terminate>,,$みんなありがとう。,みんなありがとう。,<Positive>
