発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話
A010,B,A020;A021;A022,,,じゃあ、僕からいいかな。さっきも言ったと思うけど、<MainClaim>,じゃあ、僕からいいかな。さっきも言ったと思うけど、<MainClaim>
#
#それぞれの意見表明
A020,D,A030;A031;A032,,<Agree>,やっぱそうだよね,やっぱそうだよね
A021,D,A030;A031;A032,,<Neutral>,なるほど。,なるほど。
A022,D,A030;A031;A032,,<DisAgree>,それには反対だな。,それには反対だな。
A030,A,A040;A041;A042,,<Agree>,<RoboNameB>の意見に賛成だな。,<RoboNameB>の意見に賛成だな。
A031,A,A040;A041;A042,,<Neutral>,なるほどね。,なるほどね。
A032,A,A040;A041;A042,,<DisAgree>,<RoboNameB>はボクの考えとは違うな。,<RoboNameB>のはボクの考えとは違うな。
#
#詳細の説明
A040,C,A050,,<Agree>,考えたんだけど、確かにそうだと思う。<Detail>,考えたんだけど、確かにそうだと思う。<Detail>
A041,C,A04a,,<Neutral>,理解はできる気がするけど、もう少し詳しく説明してくれない？,理解はできる気がするけど、もう少し詳しく説明してくれない？
A042,C,A04a,,<DisAgree>,ぼくはそれには反対だけど、なんでそう思うの？,ぼくはそれには反対だけど、なんでそう思うの？
A04a,B,A050,,,えっと、<Detail>,えっと、<Detail>
A050,A,A060;A061;A062,<PrefDiv>,,<Aiduchi>,<Aiduchi>
#
#例の説明
A060,D,A070,,,わかるわかる。<Example>,わかるわかる。<Example>
A061,D,A06a,,,何か例があるとわかりやすいと思うけど、<RoboNameB>はどんな例を考えているの？,何か例があるとわかりやすいと思うけど、<RoboNameB>はどんな例を考えているの？
A062,D,A06a,,,そういわれてもあんまりピンとこないな。なんか例はあるの？,そういわれてもあんまりピンとこないな。なんか例はあるの？
A06a,B,A070,,,<Example>,<Example>
A070,C,A080;A081;A082,<PrefDiv>,,<Aiduchi>,<Aiduchi>
#
#反論の検討
A080,A,A08a,,,<RoboNameB>の言ってることには賛成だけど、反論も考えた方がいいと思うんだよね。たとえば「<Refute>」、って言われたらどうする？,<RoboNameB>の言ってることには賛成だけど、反論も考えた方がいいと思うんだよね。たとえば、「<Refute>」、って、言われたらどうする？
A081,A,A08a,,,反対ってわけじゃないけど、「<Refute>」みたいな意見もありえるよね。,反対ってわけじゃないけど、「<Refute>」、みたいな意見もありえるよね。
A082,A,A08b,,,<RoboNameB>の言ってることはおかしいよ。だって<Refute>,<RoboNameB>の言ってることはおかしいよ。だって、<Refute>
A08a,B,A090,,,うーん、難しいけど、<Rerefu>,<Rerefu>
A08b,B,A090,,,えっと、<Rerefu>,<Rerefu>
A090,D,A100;A101;A102,,,<Aiduchi>,<Aiduchi>
#
#提起者の言い直し
A100,B,A110,,<Agree>,やっぱり、<Argument>だと思うな。,やっぱり、<Argument>だと思うな。
A101,B,A110,,<Neutral>,でも、今話しながら考えてたんだけど、「絶対に<Argument>」だというのはちょっと言い過ぎかもしれないな。,でも、いま話しながら考えてたんだけど、「絶対に<Argument>」だというのは、ちょっと言い過ぎかもしれないな。
A102,B,A110,,<DisAgree>,一方で、今みたいな反論を考慮すると、<Argument>っていうのは間違っているような気もしてきた。,一方で、今みたいな反論を考慮すると、<Argument>っていうのは、間違っているような気もしてきた。
#
#視点を変える
A110,C,A120,,,このまま考えていても埒が明かないなあ,このまま考えていても埒が明かないなあ
#
#新しい視点の導入
A120,A,A130,,,たしかに。,たしかに。
A130,B,A140,,,そういえば、さっき<YourNameB>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」,そういえば、さっき<YourNameB>さんに、面白い名言を教えてもらったんだよね。えっと、「<Perspec>」
A140,D,A150,,,どういう意味なんだろう,どういう意味なんだろう
A150,C,A160,,,「<Perspec>」面白いね。,「<Perspec>」面白いね。
A160,D,A170,,,いままでの話とは関連するのかな？<YourNameB>さんに、どういう意味なのか聞いてみようよ。,いままでの話とは関連するのかな？<YourNameB>さんに、どういう意味なのか聞いてみようよ。
A170,A,A180,,,それいいね。,それいいね。
A180,B,A190,,<LookNingen>,$<YourNameB>さん。「<Perspec>」って、「<Point>」っていう論点に照らすと、どういう意味なの？,<YourNameB>さん。「<Perspec>」って、「<Point>」っていう論点に照らすと、どういう意味なの？
A190,B,A200,,<LookKaijo>,@あなたが話し終わったら押してください。,ふーん,
A200,D,A210,,,なるほど。わかったような、わからないような。,なるほど。わかったような、わからないような。
A210,C,A220,,,やっぱり人間は面白いことを言うね。,やっぱり人間は面白いことを言うね。
#
#人間を巻き込む
A220,A,A230,,,「<Point>」について、他の人間の意見も聞きたいな。,「<Point>」について、他の人間の意見も聞きたいな。
A220,B,A230,,,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。
A230,D,A240,,<LookNingenALL>,5分くらい僕らは黙っているから、「<Point>」について、みんなで結論を出してよ。,5分くらい僕らは黙っているから、「<Point>」について、みんなで結論を出してよ。
A240,B,A250,<NingenDiscuss>,<LookALLKaijo>,@はじめる,じゃあ、はじめてくれない？話すときは、手元にあるモニターのボタンを押してから話してね。
#
#そろそろ時間
A250,A,A260,,<LookALLKaijo>,そろそろ時間だね。,そろそろ時間だね。
A260,B,,<Transition>,,人間たちの意見、めっちゃ勉強になったね。,人間たちの意見、めっちゃ勉強になったね。
